source_id,legacy_work_key,original_path,original_sha1,original_lines,segment_no,start_line,end_line,extract_id,extract_role,extract_path,extract_body_sha1
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,67,4394,4430,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,68,4431,4455,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,69,4456,4496,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,70,4497,4535,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,71,4536,4587,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,72,4588,4645,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,73,4646,4696,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,74,4697,4724,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,75,4725,4741,LX-WS-0064-CTX-07,CONTEXT,records/history/archive/LX-WS-0064-CTX-07_LEGACY.md,4369409E9D975E26584B526188FDC9480B15C706
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,76,4742,4756,LX-WS-0064-CTX-07,CONTEXT,records/history/archive/LX-WS-0064-CTX-07_LEGACY.md,4369409E9D975E26584B526188FDC9480B15C706
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,77,4757,4801,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,78,4802,4849,LX-WS-0064-RES-05,RESEARCH,records/history/archive/LX-WS-0064-RES-05_LEGACY.md,DC506E3BA6AD0E542F548B65C70EFE66EF06B887
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,79,4850,4932,LX-WS-0064-RES-05,RESEARCH,records/history/archive/LX-WS-0064-RES-05_LEGACY.md,DC506E3BA6AD0E542F548B65C70EFE66EF06B887
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,80,4933,4983,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,81,4984,5037,LX-WS-0064-IMP-04,IMPLEMENTATION,records/history/archive/LX-WS-0064-IMP-04_LEGACY.md,1A14291E822751DE5D7A2B734031D71DDD5E7E2D
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,82,5038,5092,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,83,5093,5131,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,84,5132,5171,LX-WS-0064-FND-03,FINDING,records/history/archive/LX-WS-0064-FND-03_LEGACY.md,62ED634D1EF45645369226EDC78494F5FFAECFB3
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,85,5172,5214,LX-WS-0064-EVD-02,EVIDENCE,records/evidence/runs/LX-WS-0064-EVD-02_LEGACY.md,97803B4BF69A445EDBF0F440278E578DFCA8EEB2
LS-WS-0064,,audit/LUMEN_CONTRACT_TRACKER.md,EA74B18E611681C8BFDFEA7F436AE16E2222F596,16008,86,5215,5218,LX-WS-0064-CTX-07,CONTEXT,records/history/archive/LX-WS-0064-CTX-07_LEGACY.md,4369409E9D975E26584B526188FDC9480B15C706
