catalog_version,catalog_code,catalog_hash,param_id,row_code,calibration_valid,status,reason_codes,picks_count,trade_count,coverage_days,avg_ret_net_top,median_ret_net_top,p25_ret_net_top,month_win_rate_min,month_avg_ret_net_min,win_rate_top
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,69,06_MONTHLY_STABILITY_LIQUID,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,82,82,501,-0.002672003155684056,-0.012711973341163918,-0.03859380290712109,0,-0.059180654048262844,0.3780487804878049
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,70,07_ANTI_REVERSAL_TRAP_CONFIRM,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,113,113,499,0.0014659954647405619,-0.0005025125628140704,-0.031026825901698373,0,-0.059180654048262844,0.4778761061946903
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,71,08_BROAD_SAMPLE_QUALITY_FLOOR,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,176,176,496,-0.0030388547158553703,-0.007824565794821374,-0.038733958418010264,0,-0.07743093219619716,0.42045454545454547
C04,WS_BT_GRID_DOWNSIDE_STABILITY_C04_2026_06,0ce3a313c45432c5a4d607def12b3f774988f324,72,09_STRICT_BALANCED_FINAL_PROBE,0,GATES_FAILED,WS_BT_EVAL_MIN_TRADES_FAIL|WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,110,110,499,0.0006626705334039686,-0.0005038164249662672,-0.03244171547516746,0,-0.059180654048262844,0.4636363636363636
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,73,00_C04_BEST_AVG_REFERENCE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,370,370,485,-0.0023675489528085076,-0.009837285021600863,-0.035697516951529194,0,-0.03143296646215396,0.3972972972972973
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,74,01_SOFT_BALANCED_SAMPLE_CORE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,486,486,487,-0.005847057723270187,-0.016121764381915586,-0.03831593791037058,0,-0.037265627849617095,0.37037037037037035
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,75,02_MONTHLY_SAMPLE_RECOVERY_CORE,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,632,632,490,-0.00182356481579,-0.01042582913435508,-0.03759411985176302,0.14285714285714285,-0.029723134861825266,0.3876582278481013
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,76,03_P25_NEAR_THRESHOLD_BALANCED,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,470,470,490,-0.004271219709669881,-0.011670993611743358,-0.03584062993478442,0.125,-0.029170509521021525,0.38085106382978723
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,77,04_MODERATE_LIQUIDITY_EXPANDED,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,572,572,488,-0.003568649808332064,-0.015018115015635113,-0.04020943519816069,0.10526315789473684,-0.025241245562200795,0.3776223776223776
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,78,05_VOLUME_PARTICIPATION_BROAD,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,656,656,490,0.0007192905900979858,-0.01042582913435508,-0.03986067589968097,0.08333333333333333,-0.02616420285136084,0.41310975609756095
C05,WS_BT_GRID_DOWNSIDE_STABILITY_C05_2026_06,476af5dde18079b1270556bc44bbc632edd46e27,79,06_TREND_RECOVERY_WITH_RS,0,GATES_FAILED,WS_BT_EVAL_ROBUST_RETURN_FAIL|WS_BT_EVAL_DOWNSIDE_FAIL|WS_BT_EVAL_STABILITY_FAIL,593,593,489,0.0003382250423929951,-0.007301095164274641,-0.03752814610958219,0,-0.02966157472313982,0.40809443507588533
