legacy_source_id,original_path,current_primary_path,role,sha1
LS-MD-0213,patches/TRADING_STATUS_SOURCE_MODEL_SIMPLIFICATION_2026_07_02.md,records/history/LEGACY_SPLIT_SOURCE_CATALOG.md,SPLIT_LEGACY_SOURCE,3A438F772827F234842C4CCDEBFE8AB9A783C588
LS-MD-0215,registry/Corporate_Action_Type_Registry_LOCKED.md,authority/strategy/registry/Corporate_Action_Type_Registry_LOCKED.md,STRATEGY,A96DFA722A9480CE0D499EA54673C0B637DE8ADB
LS-MD-0216,registry/Exchange_Market_Structure_Facts_LOCKED.md,authority/strategy/registry/Exchange_Market_Structure_Facts_LOCKED.md,STRATEGY,9941E7163806F1B985AF1BA6D5028081B1D082AF
LS-MD-0217,registry/Indicator_Registry_Baseline_LOCKED.md,authority/strategy/registry/Indicator_Registry_Baseline_LOCKED.md,STRATEGY,3A19AB8F61FD1788B2FAE29D1F1ADE429DB9FE40
LS-MD-0218,registry/Platform_Config_Registry_LOCKED.md,authority/strategy/registry/Platform_Config_Registry_LOCKED.md,STRATEGY,6B61EE4D591054BAF3F44BFE7AD159AD09DF1E36
LS-MD-0219,registry/Price_Adjustment_Contract_LOCKED.md,authority/strategy/registry/Price_Adjustment_Contract_LOCKED.md,STRATEGY,303A8523DDC42DF2A3E7BDD22BEBC5547D99D7FF
LS-MD-0220,registry/Price_Scale_Break_Detection_LOCKED.md,authority/strategy/registry/Price_Scale_Break_Detection_LOCKED.md,STRATEGY,653297FE2D3C79E3376549918B6FC6A2EE796F77
LS-MD-0221,registry/Reason_Codes_Registry.md,authority/strategy/registry/Reason_Codes_Registry.md,STRATEGY,19E607D87B1A5E493DEB2756426746022681EC38
LS-MD-0222,registry/Reason_Codes_Seed.sql,development/implementation/db/registry/Reason_Codes_Seed.sql,IMPLEMENTATION_DB,5371801AC4BA46D132B2B4321B1D101DCFD8969D
LS-MD-0223,registry/Volume_and_Turnover_Normalization_LOCKED.md,authority/strategy/registry/Volume_and_Turnover_Normalization_LOCKED.md,STRATEGY,8863399D0A5EDB40CDEC2594B29EDCEA1A5A9B00
LS-MD-0224,session_snapshot/Session_Snapshot_Contract_LOCKED.md,authority/strategy/session_snapshot/Session_Snapshot_Contract_LOCKED.md,STRATEGY,805DB06F231E40AB8C501370F200239F06FEBD08
LS-MD-0225,session_snapshot/Session_Snapshot_Date_Alignment_with_Effective_Date_LOCKED.md,authority/strategy/session_snapshot/Session_Snapshot_Date_Alignment_with_Effective_Date_LOCKED.md,STRATEGY,14E373EDB6D1CA53A8550EDF0BAD53D77B514113
LS-MD-0226,session_snapshot/Session_Snapshot_Retention_Defaults_LOCKED.md,authority/strategy/session_snapshot/Session_Snapshot_Retention_Defaults_LOCKED.md,STRATEGY,DE89005539719AD5058094599436342A53628714
LS-MD-0227,session_snapshot/Session_Snapshot_Scope_Selection_and_Dependencies_LOCKED.md,authority/strategy/session_snapshot/Session_Snapshot_Scope_Selection_and_Dependencies_LOCKED.md,STRATEGY,E0EAD95D45259C4069739EECB7439B03039E11D9
