source_id,original_path,original_sha1,source_start_line,source_end_line,extract_id,extract_role,extract_path,extract_body_sha1,coverage_status
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,1,7,LX-MD-0020-IMP-01,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0020-IMP-01_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,55ADF83193CE77BAEC0E65FDEAA9611BA1AF2047,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,8,15,LX-MD-0020-CTX-01,CONTEXT,records/history/archive/semantic/LX-MD-0020-CTX-01_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF220275F40887082B2E433FA29E646DAFA2D9A5,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,16,39,LX-MD-0020-DEC-01,DECISION,records/decisions/legacy/LX-MD-0020-DEC-01_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,EF2D39976DC78772F1A6AC35B5CD847E3E7BFDDC,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,40,82,LX-MD-0020-EVD-01,EVIDENCE,records/evidence/legacy/semantic/LX-MD-0020-EVD-01_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,214DB600AF59FA6751416A09FBDF33B1CC5ADD6E,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,83,93,LX-MD-0020-FND-01,FINDING,records/history/archive/semantic/LX-MD-0020-FND-01_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,C933EF38B2E12474FB7BDE480802539D279287E1,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,94,121,LX-MD-0020-EVD-02,EVIDENCE,records/evidence/legacy/semantic/LX-MD-0020-EVD-02_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,EEA69B0DEA70AE8C55014641DDABE71E4CA55418,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,122,176,LX-MD-0020-FND-02,FINDING,records/history/archive/semantic/LX-MD-0020-FND-02_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,82BD6FF3FBA083E7E209C7BCC61991FA299F939F,COVERED_EXACTLY_ONCE
LS-MD-0020,audit/CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,CF3BD55641F75EDA47DC3EB456D1824632863949,177,194,LX-MD-0020-CTX-02,CONTEXT,records/history/archive/semantic/LX-MD-0020-CTX-02_CORRECTION_LIFECYCLE_HARDENING_INVENTORY.md,401C5C1DA7A54A575D86CE4FA833437968FDC92D,COVERED_EXACTLY_ONCE
LS-MD-0021,audit/COVERAGE_GATE_CANDIDATE_SCOPE_HARDENING_INVENTORY.md,DDF61DF585B439719BE513385796A126871558FD,1,167,LX-MD-0021-IMP-01,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0021-IMP-01_COVERAGE_GATE_CANDIDATE_SCOPE_HARDENING_INVENTOR.md,48B0334B9274A8320D83EA589180F5F42426DAEB,COVERED_EXACTLY_ONCE
LS-MD-0021,audit/COVERAGE_GATE_CANDIDATE_SCOPE_HARDENING_INVENTORY.md,DDF61DF585B439719BE513385796A126871558FD,168,173,LX-MD-0021-CTX-01,CONTEXT,records/history/archive/semantic/LX-MD-0021-CTX-01_COVERAGE_GATE_CANDIDATE_SCOPE_HARDENING_INVENTOR.md,9809F0DAB16B628D368F0E8FC083E3AB3F83B457,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,1,10,LX-MD-0022-DEC-01,DECISION,records/decisions/legacy/LX-MD-0022-DEC-01_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,61D01ED9472AD9624D3071426670CCC489A5DD2B,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,11,26,LX-MD-0022-GOV-01,GOVERNANCE,records/history/archive/semantic/LX-MD-0022-GOV-01_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,CE4E34D4CC77156A27363BD7DEC433DBE9789284,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,27,39,LX-MD-0022-DEC-02,DECISION,records/decisions/legacy/LX-MD-0022-DEC-02_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,824F0717B06CC95E3FE15C282C84ECA127067072,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,40,62,LX-MD-0022-IMP-01,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0022-IMP-01_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,89A9429FC567ECF39987A65959C10B341B3FB5B1,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,63,78,LX-MD-0022-DEC-03,DECISION,records/decisions/legacy/LX-MD-0022-DEC-03_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,7265F26361A699E3BC68B60F62D7EDC0D74F368E,COVERED_EXACTLY_ONCE
LS-MD-0022,audit/DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVENTORY.md,BA5CB0819D76C0ADAEA2600174DA40EF3CFF16A3,79,102,LX-MD-0022-IMP-02,IMPLEMENTATION,records/history/archive/semantic/LX-MD-0022-IMP-02_DB_INTEGRITY_FK_IMPLICIT_INTEGRITY_DECISION_INVE.md,1D4355D7BF40E3CC33D3D1F658CB7F68FD24C8BC,COVERED_EXACTLY_ONCE
